count	nama_komoditas
2	Gedung Olah Raga Dan Seni
2	Gerai Kantor
2	Gerai Pupuk
2	Gerobak Pisangku Alesha
2	Getah Karet
2	Gudang Storage
2	Home Industri Makanan Ringan
2	Hotel
2	Hotel Penginapan
2	Id Food
2	Ikan Hasil Tangkapan Nelayan
2	Ikan Laut Asap
2	Ikan Lele
2	Ikan Mas
2	Ikan Nila
2	Ikan Tangkap
2	Ikan Tenggiri
2	Ikan Tongkol
2	Jagung Dan Palawija
2	Jagung Glondong
2	Jagung Kuning
2	Jajanan Kuliner
2	Jambu Mete
2	Jamur Tiram
2	Jasa Bengkel
2	Jasa Kos Kosan Dan Penginapan
2	Jasa Pengangkutan Transportasi
2	Jasa Transportasi Dan Logistik
2	Jasa Tukang Bangunan Atau Mandor
2	Kakao Dan Kelapa
2	Kampung Tenun
2	Kawasan Hutan Mangrove
2	Kayu
2	Kayu Jati
2	Kebun Alpukat
2	Kebun Duren
2	Kebun Kopi Arabica
2	Kebun Nenas
2	Kebun Tomat
2	Kebun Ubi
2	Kebutuhan Gula Pasir 1 Desa
2	Keladi
2	Kelompok Tani
2	Kemiri
2	Kemiri Biji
2	Kencur
2	Kepiting
2	Kerajinan Ayaman
2	Keripik
2	Kios Pupuk Dan Obat Pertanian
2	Kios Pupuk Lengkap Pt Pupuk Indonesia
2	Kol
2	Kontrakan Kost Kosan
2	Kriya/Kerajinan
2	Kubis
2	Kuliner
2	Lahan Tambak
2	Lapangan Futsal Outdoor
2	Lpg
2	Makanan
2	Mesin Penggilingan Padi Dan Penyosohan Betas
2	Minyak Kita 1 Liter
2	Mitra Sppg
2	Mujair
2	Nelayan
2	Olahan Tempe
2	Outlet Gas 3 Kg
2	Pangkalan Gas
2	Pangkalan Minyak Spbu
2	Pangkalan Minyak Tanah
2	Pasir & Batu
2	Paud Tk Lokal
2	Pedagang Enceran Bbm
2	Pedagang Sembako Eceran Dan Partai
2	Pembelian Brondolan Kelapa Sawit Orang Kampung Setempat
2	Pembelian Tbs Sawit
2	Pembersihan Kebun Kelapa Sawit
2	Pembesaran Ikan Air Tawar Di Kolam
2	Pembesaran Lele
2	Penanaman Jagung
2	Penanaman Nilam
2	Penangkapan Ikan
2	Penerima Manfaat Beras Sphp
2	Pengembangan Umkm
2	Pengepul Hasil Pertanian
2	Penggalian Pasir
2	Penggemukan Sapi
2	Pengolahan Sampah Rumah Tangga
2	Penjahit
2	Penjualan Kelapa Muda
2	Penjualan Kue Basah Dan Gorengan
2	Penjualan Pupuk Dan Saprotan
2	Penjualan Pupuk Untuk Tanaman Sawit
2	Penjual Kue Dan Makanan
2	Penyalur Buah Kelapa
2	Penyewaan Ruko Atau Kios
2	Pepaya
2	Percetakan
2	Perdagangan Bahan Bangunan
2	Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Sayur Sayuran
2	Perdagangan Eceran Minyak Tanah Dan Bbm
2	Perdagangan Eceran Pupuk Dan Pemberantas Hama
